Title,Rental_Price,Location,Beds,Baths,Super Built-up Area,Status,Furnished Status,Rental Value,Address,Furnishing,link,Balconies,Carpet Area,Project,Floor,Facing,Lift,Age Of Construction,Security Deposit,Landmarks,Flooring,Overlooking,Age of Construction,Water Availability,Status of Electricity,Price,Developer,Additional Rooms,Amenities,Price per sqft,Configuration,Tower & Unit,Balcony,Floors allowed for construction,Covered Parking,Lifts,Car parking,Authority Approval,Bed,Tower,Unit,Bath,Type of Ownership,RERA ID,Plot Area,Any Construction done,Boundary Wall,Transaction Type,Additional Features,Approved
4 BHK Residential House  For Rent,"₹13,000","Lambha, Ahmedabad",4.0,4.0,800sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹16/sqft,Immediately,Semi-Furnished,"₹13,000","Lambha, Ahmedabad - South, Gujarat",Semi-Furnished,https://www.magicbricks.com/propertyDetails/4-BHK-800-Sq-ft-Residential-House-FOR-Rent-Lambha-in-Ahmedabad&id=4d423833373733363331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2 BHK Flat 990 Sq-ft For Rent in Dharti Crystal,","₹17,000","Dharti Nagar, Ahmedabad",2.0,2.0,,Immediately,Furnished,"₹17,000|₹1,000Monthly Maintenance","A block, Dharti Nagar, Ahmedabad - North, Gujarat",Furnished,https://www.magicbricks.com/propertyDetails/2-BHK-990-Sq-ft-Multistorey-Apartment-FOR-Rent-Dharti-Nagar-in-Ahmedabad&id=4d423731333339333431,2.0,990sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹17/sqft,Dharti Crystal,5(Out of 5 Floors),South - East,1.0,5 to 10 years,"₹30, 000","Schools, ATMs, banks, grocery market, bus stand within 100m radius",Ceramic Tiles,"Garden/Park, Main Road",5 to 10 years,24 Hours Available,No/Rare Powercut,₹ 59.5 Lac - ₹ 72.0 Lac,,,,,,,,,,,,,,,,,,,,,,,,
"3 BHK Flat 1783 Sq-ft For Rent in Sheladia Luxuria,","₹25,000","Shela, Ahmedabad",3.0,3.0,1783sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹14/sqft,Immediately,Semi-Furnished,"₹25,000","Shela, Ahmedabad - Ahmedabad Suburban, Gujarat",Semi-Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-1783-Sq-ft-Multistorey-Apartment-FOR-Rent-Shela-in-Ahmedabad&id=4d423833373539323539,,,Sheladia Luxuria,4(Out of 19 Floors),East,,New Construction,"₹50, 000",,,,New Construction,,,₹ 80.0 Lac Onwards,Sheladia Group,Store,"Fire Fighting Equipment,Indoor Games Room,CCTV Camera,Water Storage,Security,Reserved Parking,Park,Gymnasium,Swimming Pool,Club House,Rain Water Harvesting,Lift","₹ 3,800 - ₹ 4,500",3 BHK Flats,"2 Towers , 233 Units",,,,,,,,,,,,,,,,,,
3 BHK 2020 Sq-ft Flat/Apartment  For Rent in,"₹53,000","Vastrapur, Ahmedabad",3.0,3.0,,Immediately,Semi-Furnished,"₹53,000","A 603., Vastrapur, Ahmedabad - West, Gujarat",Semi-Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-2020-Sq-ft-Multistorey-Apartment-FOR-Rent-Vastrapur-in-Ahmedabad&id=4d423832383334333839,,1414sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹37/sqft,,,East,,Less than 5 years,,Alpha One Mall,"Mosaic, Vitrified, Wooden, Ceramic Tiles, Marble, Normal Tiles/Kotah Stone, Granite, Marbonite","Garden/Park, Pool, Main Road",Less than 5 years,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
2 BHK  1200 Sq-ft For Rent in,"₹13,000","Isanpur, Ahmedabad",2.0,2.0,,,Semi-Furnished,"₹13,000|₹200Monthly Maintenance","C12Adarsh tenament oppo lotus school isanpur ahmedabad, Isanpur, Ahmedabad - South, Gujarat",Semi-Furnished,https://www.magicbricks.com/propertyDetails/2-BHK-1200-Sq-ft-Villa-FOR-Rent-Isanpur-in-Ahmedabad&id=4d423833373733393331,,1000sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹13/sqft,,,,,5 to 10 years,"₹26, 000",,,,5 to 10 years,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
3 BHK 1800 Sq-ft Flat/Apartment  For Rent in,"₹30,000","Chandkheda, Ahmedabad",3.0,3.0,,Immediately,Semi-Furnished,"₹30,000|₹2,500Monthly Maintenance","Chandkheda, Ahmedabad - North, Gujarat",Semi-Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-1800-Sq-ft-Multistorey-Apartment-FOR-Rent-Chandkheda-in-Ahmedabad&id=4d423739323131313635,2.0,1000sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹30/sqft,,3(Out of 7 Floors),,,New Construction,,,,,New Construction,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
"3 BHK Flat 2000 Sq-ft For Rent in Prathmesh II,","₹37,000","Vasna, Ahmedabad",3.0,3.0,,Immediately,Semi-Furnished,"₹37,000","401, Prathmesh II, beside Ganesh bungalow, Dharnidhar derasar road., Vasna, Ahmedabad - South, Gujarat",Semi-Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-2000-Sq-ft-Multistorey-Apartment-FOR-Rent-Vasna-in-Ahmedabad&id=4d423833373738343239,,1300sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹28/sqft,Prathmesh II,4(Out of 5 Floors),East,,10 to 15 years,,,,Main Road,10 to 15 years,,,₹ 53.0 Lac - ₹ 60.0 Lac,,,,,,,1.0,,,,,,,,,,,,,,,,,
3 BHK 767 Sq-ft Flat/Apartment  For Rent in,"₹27,000","Vaishnodevi Circle, Ahmedabad",3.0,3.0,,Immediately,Unfurnished,"₹27,000","Vaishnodevi Circle, Vaishnodevi Circle, Ahmedabad - North, Gujarat",Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-767-Sq-ft-Multistorey-Apartment-FOR-Rent-Vaishnodevi-Circle-in-Ahmedabad&id=4d423833323835323539,,536sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹50/sqft,,,North - East,2.0,New Construction,"₹54, 000",Vaishnodevi Temple,"Mosaic, Vitrified, Wooden, Ceramic Tiles, Marble, Normal Tiles/Kotah Stone, Granite, Marbonite","Garden/Park, Pool, Main Road",New Construction,24 Hours Available,No/Rare Powercut,,,,,,,,1.0,1.0,1.0,2.0,"1 Covered, 1 Open",Developer,,,,,,,,,,,,
"1 BHK Flat 680 Sq-ft For Rent in JP Iscon Platinum,","₹16,000","Bopal, Ahmedabad",,2.0,,Immediately,Furnished,"₹16,000|₹1,000Monthly Maintenance","Reception, CLUB HOUSE, Sardar Patel Ring Rd, near Bopal, Crossing, Bopal, Ahmedabad, Gujarat 380058, Bopal, Ahmedabad - West, Gujarat",Furnished,https://www.magicbricks.com/propertyDetails/1-BHK-680-Sq-ft-Multistorey-Apartment-FOR-Rent-Bopal-in-Ahmedabad&id=4d423833373835343233,,675sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹24/sqft,JP Iscon Platinum,8(Out of 22 Floors),East,,5 to 10 years,"₹16, 000",School college are very close,,"Pool, Garden/Park, Main Road",5 to 10 years,,,₹ 1.45 Cr - ₹ 4.16 Cr,JP Iscon Group,"Puja Room, Store, Study, Servant Room","Provision for power backup,Badminton court,Aesthetically designed landscape garden,Half basketball court,Sewage treatment plant,Fire Fighting Equipment,Cycling & Jogging Track,Outdoor Tennis Courts,Concierge Services,AEROBICS ROOM,Shopping center,Multipurpose Hall,Infinity Swimming Pool,Outdoor Tennis Courts,Jogging and Strolling Track,Piped Gas,Conference Room,Cafeteria/Food Court,Bar/Lounge,Banquet Hall,RO Water System,DTH Television Facility,Internet/Wi-Fi Connectivity,Laundry Service,Waste Disposal,Maintenance Staff,Intercom Facility,Visitor Parking,Air Conditioned,Service/Goods Lift,Vaastu Compliant,Private Terrace/Garden,Water Storage,Security,Reserved Parking,Park,Gymnasium,Swimming Pool,Club House,Rain Water Harvesting,Lift,Power Back Up","₹ 5,908 - ₹ 7,318","3, 4, 5 BHK Flats","14 Towers , 938 Units",1.0,,,,,,1.0,,,,,,,,,,,
3 BHK  2000 Sq-ft For Rent in,"₹50,000","Prerna ashthmangal, Ahmedabad",3.0,4.0,2000sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹25/sqft,Immediately,Furnished,"₹50,000","Near umiya dham, sanand bypass road, Ahmedabad, Gujarat",Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-2000-Sq-ft-Residential-House-FOR-Rent-in-Ahmedabad&id=4d423833373833393137,,,,,East,,Less than 5 years,,,,,Less than 5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,
