Title,Rental_Price,Location,Beds,Baths,Balcony,Carpet Area,Developer,Project,Floor,Status,Facing,Furnished Status,Age Of Construction,Rental Value,Address,Landmarks,Furnishing,Flooring,Overlooking,Age of Construction,Amenities,Price,Price per sqft,Configuration,Tower & Unit,link,Super Built-up Area,Security Deposit,Balconies,Covered Parking,Additional Rooms,Lift,Car parking,Water Availability,Status of Electricity,Floors allowed for construction,Bed,Bath,Lifts,Unit,Tower,Authority Approval,Type of Ownership,RERA ID,Plot Area,No of Open Sides,Any Construction done,Boundary Wall,Transaction Type,Additional Features,Approved,Floors allowed,Floor allowed
"3 BHK Flat 2063 Sq-ft For Rent in JRC Wild Woods,","₹62,000","Sarjapur Road, Bangalore",3.0,3.0,1.0,1341sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹46/sqft,JRC Projects,JRC Wild Woods,2(Out of 4 Floors),Immediately,West,Semi-Furnished,New Construction,"₹62,000","Sarjapur Road, Bangalore - South, Karnataka",Gatahalli Lake,Semi-Furnished,Wooden,Garden/Park,New Construction,"Aesthetically designed landscape garden,Cricket net practice,Sewage treatment plant,Fire Fighting Equipment,Cycling & Jogging Track,AEROBICS ROOM,Kids play area,CCTV Camera,Multipurpose Hall,Earth quake resistant,Jogging and Strolling Track,Banquet Hall,Waste Disposal,Intercom Facility,Visitor Parking,Water Storage,Security,Reserved Parking,Gymnasium,Swimming Pool,Club House,Rain Water Harvesting,Lift,Power Back Up",₹ 2.10 Cr - ₹ 3.57 Cr,"₹ 9,500 - ₹ 16,692","2, 3 BHK Flats","7 Towers , 582 Units",https://www.magicbricks.com/propertyDetails/3-BHK-2063-Sq-ft-Multistorey-Apartment-FOR-Rent-Sarjapur-Road-in-Bangalore&id=4d423833373830383031,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3 BHK Flat 1726 Sq-ft For Rent in Mahaveer Ranches,","₹60,000","Hosa Road, Bangalore",3.0,3.0,1.0,,Mahaveer Group,Mahaveer Ranches,3(Out of 14 Floors),,East,Semi-Furnished,5 to 10 years,"₹60,000|₹5,000Monthly Maintenance","Hosa Road, Bangalore - South, Karnataka",,Semi-Furnished,,"Pool, Garden/Park, Main Road",5 to 10 years,"Cycling & Jogging Track,Outdoor Tennis Courts,Meditation Area,Indoor Squash & Badminton Courts,Event Space & Amphitheatre,Large Clubhouse,Swimming Pool",₹ 1.11 Cr Onwards,,3 BHK Flats,"10 Towers , 1090 Units",https://www.magicbricks.com/propertyDetails/3-BHK-1726-Sq-ft-Multistorey-Apartment-FOR-Rent-Hosa-Road-in-Bangalore&id=4d423833373830383137,1726sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹35/sqft,₹2.0 Lac,,,,,,,,,,,,,,,,,,,,,,,,,
"3 BHK Flat 1540 Sq-ft For Rent in Vijayasri Elixir,","₹45,000","Nallurhalli, Bangalore",3.0,2.0,,,Vijayasri Green Homes,Vijayasri Elixir,Ground(Out of 4 Floors),,East,Semi-Furnished,,"₹45,000|₹6,000Monthly Maintenance","Whitefield, Bangalore, Nallurhalli, Bangalore - East, Karnataka",,Semi-Furnished,Ceramic Tiles,,10 to 15 years,"Fire Fighting Equipment,Cycling & Jogging Track,Kids Play Area,Indoor Squash & Badminton Courts,Indoor Games Room,Flower Gardens,Jogging and Strolling Track,Piped Gas,Waste Disposal,Maintenance Staff,Vaastu Compliant,Private Terrace/Garden,Water Storage,Security,Park,Gymnasium,Swimming Pool,Club House,Rain Water Harvesting,Lift,Power Back Up",₹ 2.06 Cr - ₹ 2.74 Cr,,"2, 3 BHK Flat","5 Towers , 171 Units",https://www.magicbricks.com/propertyDetails/3-BHK-1540-Sq-ft-Multistorey-Apartment-FOR-Rent-Nallurhalli-in-Bangalore&id=4d423833373834363835,1540sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹29/sqft,₹1.3 Lac,3.0,1.0,"Puja Room, Store",1.0,1 Covered,24 Hours Available,No/Rare Powercut,1.0,,,,,,,,,,,,,,,,,
1 BHK Residential House  For Rent,"₹10,000",Nisarga Layout,,,,550sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹18/sqft,,,,Immediately,,Semi-Furnished,New Construction,"₹10,000","near nidhi super market, Nisarga Layout, Bangalore - East, Karnataka",,Semi-Furnished,,,New Construction,,,,,,https://www.magicbricks.com/propertyDetails/1-BHK-1500-Sq-ft-Residential-House-FOR-Rent-Nisarga-Layout-in-Bangalore&id=4d423833373739363537,,"₹45, 000",,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
"2 BHK Flat 1005 Sq-ft For Rent in Adarsh Greens,","₹40,000","Prakruthi Nagar, Bangalore",2.0,2.0,,641sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹62/sqft,Adarsh Group,Adarsh Greens,5(Out of 12 Floors),,North,Furnished,New Construction,"₹40,000|₹4,000Monthly Maintenance","Kogilu, Bangalore, Prakruthi Nagar, Bangalore - North, Karnataka",,Furnished,Ceramic Tiles,Garden/Park,New Construction,"Fire Fighting Equipment,Kids Play Pool With Water Slides,Jogging and Strolling Track,Waste Disposal,Maintenance Staff,Visitor Parking,Service/Goods Lift,Water Storage,Security,Reserved Parking,Park,Gymnasium,Swimming Pool,Club House,Rain Water Harvesting,Lift,Power Back Up",₹ 68.1 Lac - ₹ 1.05 Cr,,"1, 2 BHK Flat","11 Towers , 1053 Units",https://www.magicbricks.com/propertyDetails/2-BHK-1005-Sq-ft-Multistorey-Apartment-FOR-Rent-Prakruthi-Nagar-in-Bangalore&id=4d423833373834383339,,₹2.0 Lac,,1.0,,2.0,1 Covered,24 Hours Available,No/Rare Powercut,12.0,,,2.0,,,,,,,,,,,,,,
"2 BHK Flat 1500 Sq-ft For Rent in MRKR Mera Homes,","₹48,000","Seegehalli KR Puram, Bangalore",2.0,2.0,,1150sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹42/sqft,MRKR Constructions and Industries Pvt. Ltd.,MRKR Mera Homes,9(Out of 15 Floors),Immediately,,Semi-Furnished,New Construction,"₹48,000","E-901., Seegehalli KR Puram, Bangalore - East, Karnataka",,Semi-Furnished,,,New Construction,"Fire Fighting Equipment,Cycling & Jogging Track,Retail Boulevard (Retail Shops),Outdoor Tennis Courts,Meditation Area,Kids Play Area,Kids Club,Indoor Squash & Badminton Courts,Indoor Games Room,Flower Gardens,Event Space & Amphitheatre,Coffee Lounge & Restaurants,Outdoor Tennis Courts,Jogging and Strolling Track,Banquet Hall,DTH Television Facility,Waste Disposal,Intercom Facility,Visitor Parking,Private Terrace/Garden,Water Storage,Security,Reserved Parking,Park,Gymnasium,Swimming Pool,Club House,Rain Water Harvesting,Lift,Power Back Up",₹ 1.49 Cr - ₹ 2.04 Cr,"₹ 5,583 - ₹ 6,000",2 BHK Flats,"8 Towers , 476 Units",https://www.magicbricks.com/propertyDetails/2-BHK-1500-Sq-ft-Multistorey-Apartment-FOR-Rent-Seegehalli-K-R-Puram-in-Bangalore&id=4d423833373736393737,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
"3 BHK Flat 1163 Sq-ft For Rent in Century Pragati Smart Homes,","₹40,000","Brigade Millenium Road, Bangalore",3.0,2.0,1.0,,Century Real Estate Holdings Pvt. Ltd.,Century Pragati Smart Homes,1(Out of 4 Floors),,,Semi-Furnished,10 to 15 years,"₹40,000|₹5,300Monthly Maintenance","JP nagar, Brigade Millenium Road, Bangalore - South, Karnataka",,Semi-Furnished,,,10 to 15 years,"Fire Fighting Equipment,Recreational Pool,Outdoor Tennis Courts,Meditation Area,Indoor Squash & Badminton Courts,Event Space & Amphitheatre,Early Learning Centre,Conference Room,Cafeteria/Food Court,Laundry Service,Reserved Parking",₹ 1.39 Cr - ₹ 1.66 Cr,,,"1 Tower , 64 Units",https://www.magicbricks.com/propertyDetails/3-BHK-1163-Sq-ft-Multistorey-Apartment-FOR-Rent-Brigade-Millenium-Road-in-Bangalore&id=4d423833373830373135,1163sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹34/sqft,₹1.0 Lac,,,,,,,,4.0,,,,,,,,,,,,,,,,,
1 BHK Builder Floor 550 Sq-ft For Rent in,"₹12,000","Whitefield, Bangalore",,,1.0,500sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹24/sqft,,,1(Out of 3 Floors),Immediately,,Semi-Furnished,5 to 10 years,"₹12,000","Brooke Bond, Whitefield, Whitefield, Bangalore - East, Karnataka",,Semi-Furnished,,,5 to 10 years,,,,,,https://www.magicbricks.com/propertyDetails/1-BHK-550-Sq-ft-Builder-Floor-Apartment-FOR-Rent-whitefield-in-Bangalore&id=4d423833373833323733,,"₹45, 000",,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
"3 BHK Flat 1581 Sq-ft For Rent in Salarpuria Sattva Senorita,","₹72,000","Bellandur, Bangalore",3.0,2.0,,1580sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹46/sqft,Sattva,Salarpuria Sattva Senorita,18(Out of 20 Floors),,East,Semi-Furnished,Less than 5 years,"₹72,000|₹5,000Monthly Maintenance","Sarjapur Road, Bangalore, Bellandur, Bangalore - Central, Karnataka","opposite Wipro Corporate Office, Bellandur.",Semi-Furnished,Ceramic Tiles,Main Road,Less than 5 years,"Outdoor Tennis Courts,Multipurpose Courts,Kids Play Area,Indoor Squash & Badminton Courts,Earth quake resistant,Outdoor Tennis Courts,Jogging and Strolling Track,Waste Disposal,Intercom Facility,Visitor Parking,Vaastu Compliant,Security,Park,Gymnasium,Swimming Pool,Club House,Rain Water Harvesting,Lift,Power Back Up",₹ 1.31 Cr - ₹ 5.12 Cr,,3 BHK Flats,"5 Towers , 423 Units",https://www.magicbricks.com/propertyDetails/3-BHK-1581-Sq-ft-Multistorey-Apartment-FOR-Rent-Bellandur-in-Bangalore&id=4d423833373835303435,,₹3.0 Lac,2.0,1.0,,2.0,1 Covered,24 Hours Available,No/Rare Powercut,20.0,,,2.0,,,,,,,,,,,,,,
1 BHK Residential House  For Rent,"₹10,000","Peenya Industrial Area, Bangalore",,,,400sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹25/sqft,,,,,East,Unfurnished,New Construction,"₹10,000","# 48, Maruthi Layout, Vidyanagar, Peenya Industrial Area, Bangalore - West, Karnataka",,Unfurnished,,Main Road,New Construction,,,,,,https://www.magicbricks.com/propertyDetails/1-BHK-400-Sq-ft-Residential-House-FOR-Rent-Peenya-Industrial-Area-in-Bangalore&id=4d423833373832343235,,,,,Puja Room,,,,,,1.0,1.0,,,,,,,,,,,,,,,
