Title,Rental_Price,Location,Bed,Bath,Super Built-up Area,Floor,Status,Furnished Status,Rental Value,Address,Furnishing,link,Beds,Baths,Balcony,Carpet Area,Facing,Lift,Car parking,Age Of Construction,Security Deposit,Landmarks,Flooring,Overlooking,Age of Construction,Additional Rooms,Water Availability,Status of Electricity,Floors allowed for construction,Covered Parking,Developer,Project,Amenities,Price,Price per sqft,Configuration,Tower & Unit,Balconies,Unit,Type of Ownership,Lifts,Authority Approval,Tower,RERA ID,Plot Area,Approved,Dimensions(L X B),Any Construction done,Boundary Wall,Transaction Type,Floors Allowed For Construction,Floors allowed,No of Open Sides,Additional Features
1 BHK Builder Floor 450 Sq-ft For Rent in,"₹20,000","Individual building in royapwttah, Chennai",1.0,1.0,450sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹44/sqft,Ground(Out of 3 Floors),Immediately,Semi-Furnished,"₹20,000","Chennai, Tamil Nadu",Semi-Furnished,https://www.magicbricks.com/propertyDetails/1-BHK-450-Sq-ft-Builder-Floor-Apartment-FOR-Rent-in-Chennai&id=4d423833373838333937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 BHK 1200 Sq-ft Flat/Apartment  For Rent in,"₹35,000","Royapettah, Chennai",,,,1(Out of 4 Floors),,Semi-Furnished,"₹35,000|₹2,000Monthly Maintenance","Flat No.C First Floor Triveni Aparments Door No 5028, Royapettah, Chennai - Central, Tamil Nadu",Semi-Furnished,https://www.magicbricks.com/propertyDetails/2-BHK-1200-Sq-ft-Multistorey-Apartment-FOR-Rent-Royapettah-in-Chennai&id=4d423833373930363737,2.0,2.0,1.0,1050sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹33/sqft,North,1.0,1 Open,Above 20 years,₹2.1 Lac,"Closer to Schools, Hospitals, hotels, malls  metro.",Ceramic Tiles,Main Road,Above 20 years,None of these,24 Hours Available,No/Rare Powercut,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2 BHK 750 Sq-ft Flat/Apartment  For Rent in,"₹17,000","Manapakkam, Chennai",,,,2(Out of 2 Floors),Immediately,Semi-Furnished,"₹17,000","152 Shanmuga krupa l, Manapakkam, Chennai - West, Tamil Nadu",Semi-Furnished,https://www.magicbricks.com/propertyDetails/2-BHK-750-Sq-ft-Multistorey-Apartment-FOR-Rent-Manapakkam-in-Chennai&id=4d423833373936373739,2.0,2.0,1.0,750sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹23/sqft,East,,,5 to 10 years,,manapakkam,,,5 to 10 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 BHK 968 Sq-ft Flat/Apartment  For Rent in,"₹24,000","Medavakkam, Chennai",,,968sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹25/sqft,2(Out of 2 Floors),,Semi-Furnished,"₹24,000","Medavakkam, Chennai - South, Tamil Nadu",Semi-Furnished,https://www.magicbricks.com/propertyDetails/2-BHK-968-Sq-ft-Multistorey-Apartment-FOR-Rent-Medavakkam-in-Chennai&id=4d423833373937333639,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3 BHK Flat 1288 Sq-ft For Rent in Brigade Xanadu Phase II,","₹47,000","Mogappair West Ambattur Industrial Estate, Chennai",,,1288sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹36/sqft,1(Out of 6 Floors),Immediately,Semi-Furnished,"₹47,000","Celeste building next to club house, Mogappair West Ambattur Industrial Estate, Chennai - West, Tamil Nadu",Semi-Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-1288-Sq-ft-Multistorey-Apartment-FOR-Rent-Mogappair-West-Ambattur-Industrial-Estate-in-Chennai&id=4d423833373837373131,3.0,2.0,,,North,,1 Covered,,,,Ceramic Tiles,,,,,,,1.0,Brigade Group,Brigade Xanadu Phase II,"Indoor Squash & Badminton Courts,Swimming Pool",₹ 1.05 Cr - ₹ 1.97 Cr,"₹ 6,700 - ₹ 9,134","2, 3 BHK Flats","11 Towers , 944 Units",,,,,,,,,,,,,,,,,
"2 BHK  850 Sq-ft For Rent in Staar Serasa Singhvi Garden,","₹14,500","Pudupakkam, Chennai",,,,,Immediately,Unfurnished,"₹14,500|₹1,000Monthly Maintenance","Plot No 25, Serasa Singhvi Garden, Phase 3, Pudupakkam Main Road, Pudupakkam - 603103, Pudupakkam, Chennai - South, Tamil Nadu",Unfurnished,https://www.magicbricks.com/propertyDetails/2-BHK-850-Sq-ft-Residential-House-FOR-Rent-Pudupakkam-in-Chennai&id=4d423833373934373337,2.0,2.0,,750sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹19/sqft,East,,,,"₹60, 000",,,,,,,,,,,,"Aesthetically designed landscape garden,Community entrance gate,Kids play area,Entry Exit Gate,Fire Sprinklers,CCTV Camera,Garden View,Security,Park,Lift,Power Back Up",Call For Price,,,,2.0,", 224 Units",,,,,,,,,,,,,,,
2 BHK  1200 Sq-ft For Rent in,"₹30,000","Manisha villa kavanur village potheri 4kms, Chennai",,,1200sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹25/sqft,,Immediately,Semi-Furnished,"₹30,000","Chennai, Tamil Nadu",Semi-Furnished,https://www.magicbricks.com/propertyDetails/2-BHK-1200-Sq-ft-Residential-House-FOR-Rent-in-Chennai&id=4d423833373934343735,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 BHK Residential House  For Rent,"₹8,500",Veppampattu,,,,,Immediately,Unfurnished,"₹8,500","Veppampattu, Chennai, Tamil Nadu",Unfurnished,https://www.magicbricks.com/propertyDetails/2-BHK-2000-Sq-ft-Residential-House-FOR-Rent-Veppampattu-in-Chennai&id=4d423833373838383537,2.0,3.0,,1000sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹9/sqft,North,,,5 to 10 years,"₹50, 000",velammal school,,,5 to 10 years,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,
"2 BHK Flat 950 Sq-ft For Rent in Saagar Shyams Sankalpa,","₹25,000","Ayanambakkam, Chennai",,,950sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹26/sqft,5(Out of 5 Floors),,Unfurnished,"₹25,000","Flat-507, 5th floor, Shyams Sankalpa Apartments, Metro City Rd, Ayanambakkam, Ayanambakkam, Chennai - West, Tamil Nadu",Unfurnished,https://www.magicbricks.com/propertyDetails/2-BHK-950-Sq-ft-Multistorey-Apartment-FOR-Rent-Ayanambakkam-in-Chennai&id=4d423833373838343431,2.0,2.0,,,,,,Less than 5 years,,,,"Garden/Park, Main Road",Less than 5 years,,,,,,,Saagar Shyams Sankalpa,,₹ 67.5 Lac - ₹ 75.0 Lac,,,,2.0,,,,,,,,,,,,,,,,
"3 BHK Flat 1100 Sq-ft For Rent in Rajnis Komala Krishna,","₹37,000","Nungambakkam, Chennai",,,1100sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹34/sqft,4(Out of 4 Floors),Immediately,Semi-Furnished,"₹37,000","New no. 8, Old no. 20, Corporation School Road, Nungambakkam, Chennai 600034.Opposite to tennis stadium, Next to DCB Bank., Nungambakkam, Chennai - Central, Tamil Nadu",Semi-Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-1100-Sq-ft-Multistorey-Apartment-FOR-Rent-Nungambakkam-in-Chennai&id=4d423833373837303835,3.0,2.0,,,North,,1 Covered,15 to 20 years,,Opposite to Tennis Stadium. Next to DCB Bank.,Ceramic Tiles,,15 to 20 years,,,,,1.0,Rajni foundations,Rajnis Komala Krishna,"Fire Fighting Equipment,Flower Gardens,DTH Television Facility,Laundry Service,Waste Disposal,Maintenance Staff,Security,Reserved Parking,Lift",₹ 4.28 Cr - ₹ 6.03 Cr,,,"1 Tower , 40 Units",2.0,,,,,,,,,,,,,,,,
