Title,Rental_Price,Location,Beds,Baths,Balconies,Carpet Area,Floor,Status,Furnished Status,Age Of Construction,Rental Value,Security Deposit,Address,Furnishing,Age of Construction,link,Balcony,Project,Price,Covered Parking,Super Built-up Area,Developer,Facing,Lifts,Car parking,Landmarks,Flooring,Overlooking,Additional Rooms,Water Availability,Status of Electricity,Lift,Amenities,Price per sqft,Configuration,Tower & Unit,Floors allowed for construction,Unit,Bath,Bed,Type of Ownership,RERA ID,Authority Approval,Tower,Plot Area,Any Construction done,Boundary Wall,Transaction Type,Approved,Dimensions(L X B),No of Open Sides,Additional Features,Floors allowed,Brokerage Response
2 BHK 1080 Sq-ft Flat/Apartment  For Rent in,"₹23,000","Nizampet, Hyderabad",2.0,2.0,2.0,1080sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹21/sqft,Ground(Out of 5 Floors),Immediately,Semi-Furnished,5 to 10 years,"₹23,000|₹1,500Monthly Maintenance","₹46, 000","Nizampet, Hyderabad - North, Andhra Pradesh",Semi-Furnished,5 to 10 years,https://www.magicbricks.com/propertyDetails/2-BHK-1080-Sq-ft-Multistorey-Apartment-FOR-Rent-Nizampet-in-Hyderabad&id=4d423833373931393133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3 BHK Flat 1800 Sq-ft For Rent in Phoenix Golfedge Residences,","₹75,000","Gachibowli, Hyderabad",3.0,3.0,,1800sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹42/sqft,Ground(Out of 30 Floors),Immediately,Furnished,5 to 10 years,"₹75,000|₹7,500Monthly Maintenance",₹1.5 Lac,"Gachibowli, Hyderabad - West, Andhra Pradesh",Furnished,5 to 10 years,https://www.magicbricks.com/propertyDetails/3-BHK-1800-Sq-ft-Multistorey-Apartment-FOR-Rent-Gachibowli-in-Hyderabad&id=4d423833373935383631,1.0,Phoenix Golfedge Residences,₹ 2.69 Cr - ₹ 4.67 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2 BHK Flat 1455 Sq-ft For Rent in Hima Sai Lake View Towers,","₹40,000","Nallagandla, Hyderabad",2.0,2.0,,,6(Out of 14 Floors),Immediately,Semi-Furnished,,"₹40,000|₹3,933Monthly Maintenance","₹80, 000","Hima Sai Lake View Towers, Nallagandla, Hyderabad - West, Andhra Pradesh",Semi-Furnished,5 to 10 years,https://www.magicbricks.com/propertyDetails/2-BHK-1455-Sq-ft-Multistorey-Apartment-FOR-Rent-Nallagandla-in-Hyderabad&id=4d423833373933393733,,Hima Sai Lake View Towers,₹ 1.26 Cr - ₹ 1.70 Cr,1.0,1455sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹27/sqft,Sai Sree Developers Pvt. Ltd.,East,3.0,1 Covered,20 meters to Aparna Neo Mall and Dmart Nallagandla.,Vitrified,"Pool, Main Road",Puja Room,24 Hours Available,No/Rare Powercut,3.0,"Kids Play Area,Indoor Games Room,Flower Gardens,Jogging and Strolling Track,Maintenance Staff,Water Storage,Security,Reserved Parking,Park,Gymnasium,Swimming Pool,Club House,Lift,Power Back Up","₹ 7,522 - ₹ 8,660","2, 3 BHK Flats","2 Towers , 182 Units",,,,,,,,,,,,,,,,,,
"3 BHK Flat 2225 Sq-ft For Rent in Jayabheri The Nirvana ,","₹91,000","Gachibowli, Hyderabad",3.0,3.0,,,23(Out of 29 Floors),Immediately,Semi-Furnished,,"₹91,000|₹9,000Monthly Maintenance",,"Gachibowli, Hyderabad, Gachibowli, Hyderabad - West, Andhra Pradesh",Semi-Furnished,,https://www.magicbricks.com/propertyDetails/3-BHK-2225-Sq-ft-Multistorey-Apartment-FOR-Rent-Gachibowli-in-Hyderabad&id=4d423833373838383033,1.0,Jayabheri The Nirvana,₹ 2.50 Cr - ₹ 2.53 Cr,,2225sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹41/sqft,,,,,,,,,,,,,"₹ 11,279 - ₹ 12,329",3 BHK Flats,"5 Towers , 692 Units",,,,,,,,,,,,,,,,,,
"3 BHK Flat 1608 Sq-ft For Rent in HSR Amrut Akash,","₹30,000","LB Nagar, Hyderabad",3.0,3.0,,,3(Out of 10 Floors),,Furnished,,"₹30,000",,"LB Nagar, Hyderabad - Central, Andhra Pradesh",Furnished,,https://www.magicbricks.com/propertyDetails/3-BHK-1608-Sq-ft-Multistorey-Apartment-FOR-Rent-LB-Nagar-in-Hyderabad&id=4d423833373930373637,,HSR Amrut Akash,₹ 75.6 Lac - ₹ 1.10 Cr,,1608sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹19/sqft,HSR Ventures Pvt. Ltd.,,,,,,,,,,,"Fire Fighting Equipment,Meditation Area,Kids Play Area,Indoor Games Room,Intercom Facility,Air Conditioned,Vaastu Compliant,Security,Reserved Parking,Park,Gymnasium,Swimming Pool,Club House,Lift,Power Back Up","₹ 6,873 - ₹ 7,947",3 BHK Flats,"1 Tower , 140 Units",,,,,,,,,,,,,,,,,,
3 BHK 1950 Sq-ft Flat/Apartment  For Rent in,"₹40,000","Shilpa Hills, Hyderabad",3.0,3.0,2.0,1650sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹24/sqft,1(Out of 5 Floors),,Semi-Furnished,5 to 10 years,"₹40,000|₹2,500Monthly Maintenance","₹80, 000","Flat  1 A, Srirams Jasmine Residency, Shilpa Hills, Road no.4, Izzat nagar, Hyderabad-84, Shilpa Hills, Hyderabad - North, Andhra Pradesh",Semi-Furnished,5 to 10 years,https://www.magicbricks.com/propertyDetails/3-BHK-1950-Sq-ft-Multistorey-Apartment-FOR-Rent-Shilpa-Hills-in-Hyderabad&id=4d423833373934343231,,,,1.0,,,West,,1 Covered,The property is located next to Hitex exhibition center,Vitrified,Garden/Park,,24 Hours Available,No/Rare Powercut,1.0,,,,,5.0,,,,,,,,,,,,,,,,,
2 BHK Residential House  For Rent,"₹20,000","Ameenpur Road, Hyderabad",2.0,2.0,,150sqyrdsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹133/sqyrd,,Immediately,Unfurnished,Less than 5 years,"₹20,000",,"plot 84/A, Ameenpur Road, Hyderabad - North, Andhra Pradesh",Unfurnished,Less than 5 years,https://www.magicbricks.com/propertyDetails/2-BHK-151-Sq-yrd-Residential-House-FOR-Rent-Ameenpur-Road-in-Hyderabad&id=4d423833373933363837,1.0,,,,,,East,,,Fusion International School ODF Colony,,Garden/Park,"Puja Room, Store",,,,,,,,,,,,,,,,,,,,,,,,,
2 BHK Residential House  For Rent,"₹18,000",Sri Balaji Layout,2.0,2.0,,1000sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹18/sqft,,,Semi-Furnished,Less than 5 years,"₹18,000",,"Sri Balaji Layout, Hyderabad - North, Andhra Pradesh",Semi-Furnished,Less than 5 years,https://www.magicbricks.com/propertyDetails/2-BHK-1100-Sq-ft-Residential-House-FOR-Rent-Sri-Balaji-Layout-in-Hyderabad&id=4d423833373930373931,1.0,,,,,,East,,,Behind new era school Sri Balaji Layout,,Main Road,Puja Room,,,,,,,,,,,,,,,,,,,,,,,,,
"2 BHK Flat 761 Sq-ft For Rent in Sadbhavana,","₹8,500","Ghatkesar, Hyderabad",2.0,2.0,,,1(Out of 9 Floors),,Semi-Furnished,5 to 10 years,"₹8,500","₹17, 000","Sadbhavana Township, Pocharam, Ghatkesar, Hyderabad - Yadadri Bhuvanagiri, Andhra Pradesh",Semi-Furnished,5 to 10 years,https://www.magicbricks.com/propertyDetails/2-BHK-761-Sq-ft-Multistorey-Apartment-FOR-Rent-Ghatkesar-in-Hyderabad&id=4d423833373837323339,,Sadbhavana,₹ 57.6 Lac Onwards,4.0,761sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹11/sqft,AP Rajivswagruha Corporation Ltd.,South,2.0,4 Covered,1.5 km from INFOSYS..,Normal Tiles/Kotah Stone,Main Road,None of these,24 Hours Available,No/Rare Powercut,2.0,"Fire Fighting Equipment,Cycling & Jogging Track,Multipurpose Courts,Kids Club,Indoor Squash & Badminton Courts,Indoor Games Room,Guest Accommodation,Dance Studio,Bank & ATM,Canopy Walk,Barbeque Pit,AEROBICS ROOM,Outdoor Tennis Courts,Jogging and Strolling Track,Conference Room,Banquet Hall,DTH Television Facility,Laundry Service,Waste Disposal,Maintenance Staff,Intercom Facility,Visitor Parking,Air Conditioned,Service/Goods Lift,Vaastu Compliant,Private Terrace/Garden,Water Storage,Security,Reserved Parking,Park,Gymnasium,Swimming Pool,Club House,Rain Water Harvesting,Lift,Power Back Up",,3 BHK Flats,"27 Towers , 742 Units",,,,,,,,,,,,,,,,,,
"3 BHK  2796 Sq-ft For Rent in Siva Sai Infra Myra,","₹50,000","Pati, Hyderabad",3.0,3.0,2.0,2796sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹18/sqft,,,Semi-Furnished,,"₹50,000|₹5,000Monthly Maintenance",₹1.0 Lac,"Patighanpur, Hyderabad, Pati, Hyderabad - West, Andhra Pradesh",Semi-Furnished,,https://www.magicbricks.com/propertyDetails/3-BHK-2796-Sq-ft-Villa-FOR-Rent-Pati-in-Hyderabad&id=4d423833373838393839,,,₹ 2.41 Cr - ₹ 2.86 Cr,,,,East,,2 Open,"good connectivity to ORR, Financial District, Gachibowli, Intl schools",Vitrified,,Puja Room,24 Hours Available,No/Rare Powercut,,"Badminton court,Aesthetically designed landscape garden,Cricket net practice,Half basketball court,Multipurpose Courts,Meditation Area,Indoor Games Room,Guest Accommodation,Event Space & Amphitheatre,Kids play area,Multipurpose Hall,Grand Entrance lobby,Conference Room,Internet/Wi-Fi Connectivity,Gymnasium,Swimming Pool,Club House,Power Back Up","₹ 8,983 - ₹ 10,045",3 BHK Villas,,2.0,", 133 Units",,,,,,,,,,,,,,,,
