Title,Rental_Price,Location,Beds,Baths,Balcony,Carpet Area,Status,Furnished Status,Rental Value,Security Deposit,Address,Landmarks,Furnishing,link,Bath,Super Built-up Area,Floor,Age Of Construction,Age of Construction,Balconies,Project,Facing,Overlooking,Additional Rooms,Price,Developer,Amenities,Price per sqft,Configuration,Tower & Unit,Covered Parking,Lifts,Car parking,Water Availability,Status of Electricity,Floors allowed for construction,Lift,Bed,Flooring,Authority Approval,Unit,Type of Ownership,RERA ID,Tower,Plot Area,Any Construction done,Boundary Wall,Transaction Type,Additional Features,Approved,Floor allowed,Floors allowed
3 BHK Residential House  For Rent,"₹20,000","Nagerbazar, Kolkata",3.0,2.0,1.0,850sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹24/sqft,Immediately,Unfurnished,"₹20,000","₹40, 000","Nagerbazar, Kolkata - North, West Bengal",Diamond Plaza Mall,Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-1000-Sq-ft-Residential-House-FOR-Rent-Nagerbazar-in-Kolkata&id=4d423833373930303733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650 Sq-ft For Rent in,"₹10,000","Salkia School Road, Kolkata",,,,,Immediately,Semi-Furnished,"₹10,000",,"Krishna mohan mitra lane., Salkia School Road, Kolkata - Howrah District, West Bengal",,Semi-Furnished,https://www.magicbricks.com/propertyDetails/650-Sq-ft-Studio-Apartment-FOR-Rent-in-Kolkata&id=4d423833373931333439,1.0,650sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹15/sqft,Ground(Out of 2 Floors),5 to 10 years,5 to 10 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3 BHK Flat 1470 Sq-ft For Rent in Chinar Tower,","₹21,000","Chinar Park, Kolkata",3.0,2.0,,1290sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹16/sqft,,Semi-Furnished,"₹21,000|₹1,500Monthly Maintenance","₹25, 000","Kolkata, Chinar Park, Kolkata - North, West Bengal",,Semi-Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-1470-Sq-ft-Multistorey-Apartment-FOR-Rent-Chinar-Park-in-Kolkata&id=4d423833373831313131,,,1(Out of 5 Floors),New Construction,New Construction,2.0,Chinar Tower,South -West,"Garden/Park, Main Road",Puja Room,₹ 91.6 Lac - ₹ 1.21 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3 BHK Flat 1370 Sq-ft For Rent in DTC Southern Heights,","₹25,000","Joka, Kolkata",3.0,3.0,,956sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹26/sqft,,Semi-Furnished,"₹25,000","₹50, 000","Joka, Kolkata - South, West Bengal",Vivekananda Mission School Joka,Semi-Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-1370-Sq-ft-Multistorey-Apartment-FOR-Rent-Joka-in-Kolkata&id=4d423833373835373533,,,2(Out of 14 Floors),Less than 5 years,Less than 5 years,2.0,DTC Southern Heights,South,Garden/Park,,₹ 55.1 Lac - ₹ 91.4 Lac,DTC Projects Pvt. Ltd.,"Fire Fighting Equipment,Cycling & Jogging Track,Retail Boulevard (Retail Shops),Meditation Area,Library And Business Centre,Kids Play Pool With Water Slides,Indoor Squash & Badminton Courts,Indoor Games Room,Flower Gardens,Coffee Lounge & Restaurants,AEROBICS ROOM,CCTV Camera,Multipurpose Hall,Grand Entrance lobby,Health club with Steam / Jaccuzi,Earth quake resistant,Golf Course,Jogging and Strolling Track,Conference Room,Banquet Hall,DTH Television Facility,Internet/Wi-Fi Connectivity,Waste Disposal,Maintenance Staff,Intercom Facility,Visitor Parking,Vaastu Compliant,Water Storage,Security,Reserved Parking,Gymnasium,Swimming Pool,Club House,Rain Water Harvesting,Lift,Power Back Up","₹ 5,415 - ₹ 8,000","2, 3 BHK Flats","28 Towers , 612 Units",,,,,,,,,,,,,,,,,,,,,,
"2 BHK Flat 720 Sq-ft For Rent in Realtech The Indianaq,","₹12,500","Rajarhat, Kolkata",2.0,2.0,1.0,600sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹21/sqft,,Unfurnished,"₹12,500",,"Near DPS Megacity, New Town, Kalikapur, Rajarhat, Kolkata - North, West Bengal",,Unfurnished,https://www.magicbricks.com/propertyDetails/2-BHK-720-Sq-ft-Multistorey-Apartment-FOR-Rent-Rajarhat-in-Kolkata&id=4d423833373930373937,,,3(Out of 4 Floors),,,,Realtech The Indianaq,South - East,"Pool, Garden/Park, Main Road",,₹ 18.5 Lac - ₹ 63.0 Lac,Realtech Group,"Fire Fighting Equipment,Cycling & Jogging Track,Outdoor Tennis Courts,Kids Play Area,CCTV Camera,Multipurpose Hall,Jogging and Strolling Track,Visitor Parking,Security,Reserved Parking,Gymnasium,Lift,Power Back Up",,,"6 Towers , 180 Units",,,,,,,,,,,,,,,,,,,,,,
"3 BHK Flat 1300 Sq-ft For Rent in Unimark Lakewood Estate,","₹45,000","Baishnabghata Patuli Township, Kolkata",3.0,3.0,,1200sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹38/sqft,,Semi-Furnished,"₹45,000",,"Baishnabghata Patuli Township, Kolkata - South, West Bengal",,Semi-Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-1300-Sq-ft-Multistorey-Apartment-FOR-Rent-Baishnabghata-Patuli-Township-in-Kolkata&id=4d423833373732383939,,,14(Out of 18 Floors),New Construction,New Construction,2.0,Unimark Lakewood Estate,,Garden/Park,,₹ 79.1 Lac - ₹ 1.36 Cr,Unimark Group,"Fire Fighting Equipment,Cycling & Jogging Track,Meditation Area,Kids Play Area,Indoor Games Room,Event Space & Amphitheatre,CCTV Camera,Mini Cinema Theatre,Jogging and Strolling Track,Banquet Hall,Intercom Facility,Security,Gymnasium,Swimming Pool,Club House,Lift",,"2, 3, 4 BHK Flat","6 Towers , 450 Units",,,,,,,,,,,,,,,,,,,,,,
"3 BHK Flat 1623 Sq-ft For Rent in Himadri,","₹60,000","Shyam Bazar, Kolkata",3.0,2.0,,,,Semi-Furnished,"₹60,000",,"Shyam Bazar, Kolkata, Shyam Bazar, Kolkata - North, West Bengal",,Semi-Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-1623-Sq-ft-Multistorey-Apartment-FOR-Rent-Shyam-Bazar-in-Kolkata&id=4d423833373734323239,,1623sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹37/sqft,3(Out of 18 Floors),5 to 10 years,5 to 10 years,2.0,Himadri,,Main Road,Servant Room,₹ 2.21 Cr - ₹ 2.87 Cr,Ginni Realty,"Fire Fighting Equipment,Located in the Heart of city,Jogging and Strolling Track,Conference Room,Bar/Lounge,Banquet Hall,Maintenance Staff,Visitor Parking,Water Storage,Security,Reserved Parking,Gymnasium,Rain Water Harvesting,Lift,Power Back Up",,"3, 4 BHK Flat","1 Tower , 85 Units",14.0,3.0,14 Covered,24 Hours Available,No/Rare Powercut,1.0,3.0,,,,,,,,,,,,,,,
3 BHK 1500 Sq-ft Flat/Apartment  For Rent in,"₹25,000","Anandapur, Kolkata",3.0,2.0,1.0,1200sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹21/sqft,Immediately,Unfurnished,"₹25,000",,"Anandapur, Anandapur, Kolkata - East, West Bengal",Ruby general hospital,Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-1500-Sq-ft-Multistorey-Apartment-FOR-Rent-Anandapur-in-Kolkata&id=4d423833373734323539,,,3(Out of 4 Floors),New Construction,New Construction,,,North,Garden/Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1 BHK Builder Floor 550 Sq-ft For Rent in Alaktika Complex,","₹15,500","New Town, Kolkata",,,,,Immediately,Furnished,"₹15,500",,"New Town, Kolkata - East, West Bengal",,Furnished,https://www.magicbricks.com/propertyDetails/1-BHK-550-Sq-ft-Builder-Floor-Apartment-FOR-Rent-New-Town-in-Kolkata&id=4d423833373835373833,1.0,550sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹28/sqft,3(Out of 4 Floors),,,,Alaktika Complex,,,,₹ 35.5 Lac - ₹ 1.60 Cr,Bengal Peerless Housing,"Fire Fighting Equipment,Kids Play Area,Intercom Facility,Reserved Parking","₹ 6,455 - ₹ 7,149",4 BHK Flats,"11 Towers , 390 Units",,,,,,,,1.0,,,,,,,,,,,,,,
"3 BHK Flat 920 Sq-ft For Rent in Magnolia Enjoy,","₹14,000","Rajarhat Main Road, Kolkata",3.0,2.0,1.0,852sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹16/sqft,Immediately,Semi-Furnished,"₹14,000",,"Buroshibtalla, Bishnupur, Rajarhat Main Road, Kolkata - North 24 Parganas District, West Bengal",Buroshibtalla Temple,Semi-Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-920-Sq-ft-Multistorey-Apartment-FOR-Rent-Rajarhat-Main-Road-in-Kolkata&id=4d423833373831383435,,,1(Out of 4 Floors),Less than 5 years,Less than 5 years,,Magnolia Enjoy,West,"Main Road, Garden/Park",,₹ 29.3 Lac - ₹ 41.6 Lac,Magnolia Infrastructure Development Ltd.,"CCTV Camera,Intercom Facility,Gymnasium,Lift,Power Back Up",,2 BHK Flats,"2 Towers , 56 Units",,,,,,,,,Normal Tiles/Kotah Stone,,,,,,,,,,,,,
