Title,Rental_Price,Location,Bed,Baths,Carpet Area,Floor,Status,Furnished Status,Rental Value,Security Deposit,Address,Furnishing,link,Facing,Age Of Construction,Flooring,Overlooking,Age of Construction,Bath,Super Built-up Area,Developer,Project,Amenities,Price,Price per sqft,Configuration,Tower & Unit,Beds,Balcony,Balconies,Landmarks,Additional Rooms,Lifts,Water Availability,Status of Electricity,Floors allowed for construction,Lift,Car parking,Covered Parking,Tower,Authority Approval,Unit,Type of Ownership,RERA ID,Floors allowed,Plot Area,Any Construction done,Boundary Wall,Transaction Type
1 BHK 500 Sq-ft Flat/Apartment  For Rent in,"₹45,000","Military Road, Mumbai",1.0,2.0,500sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹90/sqft,5(Out of 7 Floors),Immediately,Semi-Furnished,"₹45,000",₹1.5 Lac,"Military Road, Mumbai - Western Mumbai, Maharashtra",Semi-Furnished,https://www.magicbricks.com/propertyDetails/1-BHK-500-Sq-ft-Multistorey-Apartment-FOR-Rent-Military-Road-in-Mumbai&id=4d423833373930373735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 BHK 450 Sq-ft Flat/Apartment  For Rent in,"₹33,000","Kannamwar Nagar 1, Mumbai",1.0,2.0,370sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹89/sqft,5(Out of 22 Floors),,Semi-Furnished,"₹33,000",,"Peak 25, Kannamwar Nagar 1, Mumbai - Central Mumbai, Maharashtra",Semi-Furnished,https://www.magicbricks.com/propertyDetails/1-BHK-450-Sq-ft-Multistorey-Apartment-FOR-Rent-Kannamwar-Nagar-1-in-Mumbai&id=4d423833373635353033,West,Less than 5 years,Normal Tiles/Kotah Stone,"Garden/Park, Main Road",Less than 5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1 BHK Flat 650 Sq-ft For Rent in Satellite Garden,","₹44,000","Goregaon East, Mumbai",1.0,,,6(Out of 7 Floors),Immediately,Furnished,"₹44,000",₹1.5 Lac,"Goregaon East, Mumbai - Western Mumbai, Maharashtra",Furnished,https://www.magicbricks.com/propertyDetails/1-BHK-650-Sq-ft-Multistorey-Apartment-FOR-Rent-Goregaon-East-in-Mumbai&id=4d423833373838393935,North - East,5 to 10 years,,Garden/Park,5 to 10 years,1.0,650sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹68/sqft,Satellite Builders Pvt. Ltd.,Satellite Garden,"Fire Fighting Equipment,Cycling & Jogging Track,Kids Play Area,Indoor Squash & Badminton Courts,Indoor Games Room,Flower Gardens,RO Water System,DTH Television Facility,Internet/Wi-Fi Connectivity,Intercom Facility,Air Conditioned,Vaastu Compliant,Private Terrace/Garden,Water Storage,Security,Reserved Parking,Park,Club House,Rain Water Harvesting,Lift,Power Back Up",₹ 76.0 Lac - ₹ 2.75 Cr,"₹ 13,818 - ₹ 18,966","1, 2 BHK Flats","13 Towers , 120 Units",,,,,,,,,,,,,,,,,,,,,,
4 BHK  2000 Sq-ft For Rent in,"₹90,000","Sector 6 Charkop, Mumbai",,3.0,2000sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹45/sqft,,Immediately,Semi-Furnished,"₹90,000",₹3.0 Lac,"amardeep cooperative society sec 6 plot no 601room mo d6, Sector 6 Charkop, Mumbai - Western Mumbai, Maharashtra",Semi-Furnished,https://www.magicbricks.com/propertyDetails/4-BHK-2000-Sq-ft-Villa-FOR-Rent-Charkop-Sector-6-in-Mumbai&id=4d423833373637343039,,New Construction,,,New Construction,,,,,,,,,,4.0,1.0,,,,,,,,,,,,,,,,,,,,
"3 BHK Flat 1111 Sq-ft For Rent in Lily Kunj Apartment,",₹1.1 Lac,"Vile Parle East, Mumbai",,3.0,,5(Out of 7 Floors),Immediately,Unfurnished,₹1.1 Lac,,"Vile Parle East, Mumbai - Western Mumbai, Maharashtra",Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-1111-Sq-ft-Multistorey-Apartment-FOR-Rent-Vile-Parle-East-in-Mumbai&id=4d423833373736313733,,,,,,,1111sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹96/sqft,,Lily Kunj Apartment,,₹ 3.0 Cr - ₹ 3.67 Cr,,,,3.0,,,,,,,,,,,,,,,,,,,,,
5 BHK 2500 Sq-ft Flat/Apartment  For Rent in,₹1.5 Lac,"Mulund East, Mumbai",,4.0,2100sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹71/sqft,7(Out of 8 Floors),Immediately,Semi-Furnished,₹1.5 Lac,₹6.0 Lac,"Ambika Plaza 90 ft road mulund east Mumbai 400 081, Mulund East, Mumbai - Central Mumbai, Maharashtra",Semi-Furnished,https://www.magicbricks.com/propertyDetails/5-BHK-2500-Sq-ft-Multistorey-Apartment-FOR-Rent-Mulund-East-in-Mumbai&id=4d423833373635323631,North - East,15 to 20 years,,Main Road,15 to 20 years,,,,,,,,,,5.0,,2.0,,,,,,,,,,,,,,,,,,,
2 BHK Flat 750 Sq-ft For Rent in,"₹35,000","Sn Medtiya Raviraj, Mira Road Area, Mumbai, Mumbai",,2.0,,1(Out of 3 Floors),Immediately,Semi-Furnished,"₹35,000",,"Mumbai, Maharashtra",Semi-Furnished,https://www.magicbricks.com/propertyDetails/2-BHK-750-Sq-ft-Multistorey-Apartment-FOR-Rent-in-Mumbai&id=4d423833373731373335,,,,,,,750sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹47/sqft,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
1 BHK 600 Sq-ft Flat/Apartment  For Rent in,"₹66,000","Andheri West, Mumbai",1.0,2.0,560sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹118/sqft,2(Out of 4 Floors),,Furnished,"₹66,000",₹1.6 Lac,"umedvilla building, vishwabharthi soc, near shri ram school, jain upashray lane, Andheri West, Mumbai - Western Mumbai, Maharashtra",Furnished,https://www.magicbricks.com/propertyDetails/1-BHK-600-Sq-ft-Multistorey-Apartment-FOR-Rent-Andheri-West-in-Mumbai&id=4d423833373738323337,,Above 20 years,,,Above 20 years,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
"1 BHK Flat 650 Sq-ft For Rent in Everest Classique,","₹40,000","Vile Parle East, Mumbai",1.0,,650sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹62/sqft,6(Out of 6 Floors),Immediately,Furnished,"₹40,000",,"Everest Classique, Subhash Road, Vile Parle East, Vile Parle East, Mumbai - Western Mumbai, Maharashtra",Furnished,https://www.magicbricks.com/propertyDetails/1-BHK-650-Sq-ft-Multistorey-Apartment-FOR-Rent-Vile-Parle-East-in-Mumbai&id=4d423833373832333933,,10 to 15 years,Marble,Main Road,10 to 15 years,1.0,,,Everest Classique,,₹ 3.0 Cr - ₹ 3.67 Cr,,,,,,,,,,,,,,,,,,,,,,,,,
1 BHK Flat 315 Sq-ft For Rent in,"₹55,000","Mahabubabad, Mumbai",1.0,,315sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹175/sqft,7(Out of 10 Floors),,Furnished,"₹55,000",₹1.5 Lac,"bhawani shankar road, dadar west, Mumbai, Maharashtra",Furnished,https://www.magicbricks.com/propertyDetails/1-BHK-315-Sq-ft-Multistorey-Apartment-FOR-Rent-in-Mumbai&id=4d423833373930353537,,5 to 10 years,,Main Road,5 to 10 years,1.0,,,,,,,,,,,,nandgopal industrial estate,,,,,,,,,,,,,,,,,,
