Title,Rental_Price,Location,Beds,Baths,Balcony,Carpet Area,Floor,Status,Additional Rooms,Furnished Status,Age Of Construction,Rental Value,Security Deposit,Address,Landmarks,Furnishing,Age of Construction,link,Bed,Bath,Facing,Super Built-up Area,Balconies,Flooring,Overlooking,Amenities,Price,Tower & Unit,Developer,Project,Configuration,Water Availability,Status of Electricity,Lift,Car parking,Floors allowed for construction,Type of Ownership,Price per sqft,Unit,Covered Parking,Lifts,Authority Approval,Tower,RERA ID,Plot Area
3 BHK Builder Floor 1000 Sq-ft For Rent in,"₹15,000","Uttam Nagar, New Delhi",3.0,2.0,1.0,900sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹17/sqft,2(Out of 2 Floors),Immediately,Study,Semi-Furnished,New Construction,"₹15,000|₹200Monthly Maintenance","₹30, 000","Rajapuri, Uttam Nagar, New Delhi - West, Delhi NCR",Nearby Raj mandir Rajapuri,Semi-Furnished,New Construction,https://www.magicbricks.com/propertyDetails/3-BHK-1000-Sq-ft-Builder-Floor-Apartment-FOR-Rent-Uttam-Nagar-in-New-Delhi&id=4d423833373836303837,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 BHK 25 Sq-ft Flat/Apartment  For Rent in,"₹5,000","Shadipur, New Delhi",,,,22sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹227/sqft,3(Out of 4 Floors),Immediately,,Semi-Furnished,,"₹5,000",,"Baljeet nagar, Mali ram wali gali, Shadipur, New Delhi - West, Delhi NCR",Sanjay Electronics,Semi-Furnished,,https://www.magicbricks.com/propertyDetails/1-BHK-25-Sq-ft-Multistorey-Apartment-FOR-Rent-Shadipur-in-New-Delhi&id=4d423833373931323331,1.0,1.0,East,,,,,,,,,,,,,,,,,,,,,,,,
3 BHK 1400 Sq-ft Flat/Apartment  For Rent in,"₹95,000","Kalkaji, New Delhi",3.0,3.0,,,Ground(Out of 1 Floors),Immediately,,Semi-Furnished,,"₹95,000",,"Kalkaji, New Delhi - South, Delhi NCR",,Semi-Furnished,,https://www.magicbricks.com/propertyDetails/3-BHK-1400-Sq-ft-Multistorey-Apartment-FOR-Rent-Kalkaji-in-New-Delhi&id=4d423833373733383033,,,,1400sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹68/sqft,,,,,,,,,,,,,,,,,,,,,,,
2 BHK Builder Floor 1500 Sq-ft For Rent in,"₹13,000","Khanpur, New Delhi",2.0,2.0,,1400sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹9/sqft,2(Out of 3 Floors),Immediately,,Semi-Furnished,New Construction,"₹13,000",,"D block, Khanpur, New Delhi - South, Delhi NCR",Near dev medicos chemist.,Semi-Furnished,New Construction,https://www.magicbricks.com/propertyDetails/2-BHK-1500-Sq-ft-Builder-Floor-Apartment-FOR-Rent-Khanpur-in-New-Delhi&id=4d423833373930323139,,,,,2.0,Marble,Main Road,,,,,,,,,,,,,,,,,,,,
2 BHK Builder Floor 1200 Sq-ft For Rent in,"₹60,000","Paschim Vihar Block B5, New Delhi",2.0,2.0,,,4(Out of 4 Floors),Immediately,,Furnished,,"₹60,000",,"Paschim Vihar Block B5, New Delhi - West, Delhi NCR",,Furnished,,https://www.magicbricks.com/propertyDetails/2-BHK-1200-Sq-ft-Builder-Floor-Apartment-FOR-Rent-Paschim-Vihar-Block-B5-in-New-Delhi&id=4d423833373734313837,,,,1200sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹50/sqft,,,,,,,,,,,,,,,,,,,,,,,
2 BHK Residential House  For Rent,"₹20,000","Janakpuri, New Delhi",2.0,,1.0,900sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹22/sqft,,Immediately,,Semi-Furnished,10 to 15 years,"₹20,000","₹20, 000","C4C block flat no 111, Janakpuri, New Delhi - West, Delhi NCR",,Semi-Furnished,10 to 15 years,https://www.magicbricks.com/propertyDetails/2-BHK-1000-Sq-ft-Residential-House-FOR-Rent-Janakpuri-in-New-Delhi&id=4d423833373930333635,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
"2 BHK  800 Sq-ft For Rent in DDA Dda Janta Flats,","₹32,000","Kalkaji Extension, New Delhi",2.0,,1.0,700sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹46/sqft,,,Store,Furnished,Above 20 years,"₹32,000","₹64, 000","99C dda flats kalkaji, Kalkaji Extension, New Delhi - South, Delhi NCR",,Furnished,Above 20 years,https://www.magicbricks.com/propertyDetails/2-BHK-800-Sq-ft-Residential-House-FOR-Rent-Kalkaji-Extension-in-New-Delhi&id=4d423833373934383233,,1.0,,,,,Main Road,"Fire Fighting Equipment,Kids Play Area,Laundry Service,Maintenance Staff,Visitor Parking,Security,Reserved Parking,Park,Power Back Up",₹ 91.0 Lac - ₹ 1.09 Cr,"11 Towers , 1200 Units",,,,,,,,,,,,,,,,,
2 BHK 50 Sq-ft Flat/Apartment  For Rent in,"₹20,000","Laxmi Nagar, New Delhi",2.0,,1.0,50sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹400/sqft,3(Out of 4 Floors),Immediately,,Semi-Furnished,New Construction,"₹20,000","₹20, 000","Laxmi Nagar, New Delhi - East, Delhi NCR",near Krishna mandir,Semi-Furnished,New Construction,https://www.magicbricks.com/propertyDetails/2-BHK-50-Sq-ft-Multistorey-Apartment-FOR-Rent-Laxmi-Nagar-in-New-Delhi&id=4d423833373832373435,,1.0,West,,,,Garden/Park,,,,,,,,,,,,,,,,,,,,
"1 BHK Flat 550 Sq-ft For Rent in DDA Flats Sector 14,","₹30,000","Dwarka, New Delhi",,,1.0,,9(Out of 14 Floors),Immediately,,Furnished,Less than 5 years,"₹30,000|₹1,200Monthly Maintenance","₹60, 000","Dwarka Greens, Dwarka, New Delhi - West, Delhi NCR",,Furnished,Less than 5 years,https://www.magicbricks.com/propertyDetails/1-BHK-550-Sq-ft-Multistorey-Apartment-FOR-Rent-Dwarka-in-New-Delhi&id=4d423833373930353539,1.0,1.0,,550sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹55/sqft,,,"Garden/Park, Main Road","Fire Fighting Equipment,Kids Play Area,Kids Club,Maintenance Staff,Visitor Parking,Security,Reserved Parking,Park,Rain Water Harvesting,Lift,Power Back Up",₹ 2.58 Cr - ₹ 2.99 Cr,"15 Towers , 760 Units",Delhi Development Authority DDA,DDA Flats Sector 14,1 BHK Flat,,,,,,,,,,,,,,
1 BHK Builder Floor 600 Sq-ft For Rent in,"₹35,000","South Extension 2, New Delhi",,,,600sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹58/sqft,Upper Basement(Out of 4 Floors),Immediately,,Semi-Furnished,New Construction,"₹35,000",,"South Extension 2, New Delhi - South, Delhi NCR",,Semi-Furnished,New Construction,https://www.magicbricks.com/propertyDetails/1-BHK-600-Sq-ft-Builder-Floor-Apartment-FOR-Rent-South-Extension-2-in-New-Delhi&id=4d423833373835353933,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
