Title,Rental_Price,Location,Beds,Baths,Balconies,Carpet Area,Project,Floor,Status,Additional Rooms,Facing,Furnished Status,Age Of Construction,Rental Value,Security Deposit,Address,Landmarks,Furnishing,Overlooking,Age of Construction,Price,link,Super Built-up Area,Developer,Amenities,Price per sqft,Configuration,Tower & Unit,Bed,Bath,Covered Parking,Car parking,Flooring,Water Availability,Status of Electricity,Lifts,Lift,Balcony,Floors allowed for construction,Tower,Unit,Type of Ownership,RERA ID,Authority Approval,Plot Area,No of Open Sides,Any Construction done,Boundary Wall,Transaction Type,Additional Features
"4 BHK Flat 1250 Sq-ft For Rent in Shaligram Pavillia,","₹32,000","Gahunje, Pune",4.0,3.0,2.0,983sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹33/sqft,Shaligram Pavillia,7(Out of 18 Floors),Immediately,"Puja Room, Study",West,Semi-Furnished,New Construction,"₹32,000","₹50, 000","Shaligram Pavillia, Flat No-D701, Near Lodha Belmondo, Village-Gahunje, Taluka - Maval, District - Pune - 412101, Gahunje, Pune - Western Outskirts, Maharashtra",Near Lodha Belmondo,Semi-Furnished,Garden/Park,New Construction,₹ 51.2 Lac - ₹ 62.0 Lac,https://www.magicbricks.com/propertyDetails/4-BHK-1250-Sq-ft-Multistorey-Apartment-FOR-Rent-Gahunje-in-Pune&id=4d423833373838393739,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2 BHK Flat 750 Sq-ft For Rent in VTP Aethereus,","₹24,500","Mahalunge, Pune",2.0,2.0,,,VTP Aethereus,18(Out of 35 Floors),Immediately,,,Semi-Furnished,,"₹24,500",,"Mahalunge, Pune - West, Maharashtra",,Semi-Furnished,,,₹ 70.0 Lac - ₹ 1.20 Cr,https://www.magicbricks.com/propertyDetails/2-BHK-750-Sq-ft-Multistorey-Apartment-FOR-Rent-Mahalunge-in-Pune&id=4d423833373836393835,750sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹33/sqft,VTP Realty,"Multipurpose Courts,Kids play area,Security,Reserved Parking,Park,Gymnasium,Swimming Pool,Club House,Lift","₹ 7,143 - ₹ 8,167","2, 3 BHK Flats","5 Towers , 718 Units",,,,,,,,,,,,,,,,,,,,,,
1 BHK Flat 780 Sq-ft For Rent in,"₹18,000","Sai preetam villa, Rajyog colony, Akurdi ,Ravet, Pune",,,,,,1(Out of 4 Floors),,,,Semi-Furnished,,"₹18,000",,"Pune, Maharashtra",,Semi-Furnished,,,,https://www.magicbricks.com/propertyDetails/1-BHK-780-Sq-ft-Multistorey-Apartment-FOR-Rent-in-Pune&id=4d423833373934313633,780sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹23/sqft,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
"2 BHK Flat 913 Sq-ft For Rent in Sarisha,","₹22,000","Punawale, Pune",2.0,2.0,3.0,,Sarisha,10(Out of 10 Floors),Immediately,,East,Semi-Furnished,5 to 10 years,"₹22,000","₹55, 000","Punawale, Pune - Pimpri Chinchwad Municipal Corporation, Maharashtra",,Semi-Furnished,,5 to 10 years,₹ 78.0 Lac - ₹ 94.9 Lac,https://www.magicbricks.com/propertyDetails/2-BHK-913-Sq-ft-Multistorey-Apartment-FOR-Rent-Punawale-in-Pune&id=4d423833373930343933,913sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹24/sqft,Sai Samarttha Properties,"Rentable Community Space,Multipurpose Courts,Meditation Area,Kids Play Pool With Water Slides,Kids Play Area,Flower Gardens,AEROBICS ROOM,Banquet Hall,Waste Disposal,Intercom Facility",,"2, 3 BHK Flat","2 Towers , 116 Units",,,,,,,,,,,,,,,,,,,,,,
"2 BHK Flat 1200 Sq-ft For Rent in Kolte Patil Life Republic Sector R10 10th Avenue Universe Phase II,","₹30,000","Manjari Khurd, Pune",2.0,2.0,,,Kolte Patil Life Republic Sector R10 10th Avenue Universe Phase II,2(Out of 22 Floors),,,North - East,Semi-Furnished,,"₹30,000",,"life republic R-10 kolte patil universe, Manjari Khurd, Pune - Eastern Outskirts, Maharashtra",In front of canvas life republic.,Semi-Furnished,,,₹ 87.0 Lac - ₹ 97.1 Lac,https://www.magicbricks.com/propertyDetails/2-BHK-1200-Sq-ft-Multistorey-Apartment-FOR-Rent-Manjari-Khurd-in-Pune&id=4d423833373933383739,1200sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹25/sqft,,,,,,,,205.0,205 Covered,Ceramic Tiles,24 Hours Available,No/Rare Powercut,,,,,,,,,,,,,,,
"3 BHK Flat 1600 Sq-ft For Rent in Magarpatta Riverview City Falcon Towers,","₹30,000","Loni Kalbhor Gaon, Pune",3.0,3.0,2.0,1199sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹25/sqft,Magarpatta Riverview City Falcon Towers,17(Out of 21 Floors),Immediately,,East,Semi-Furnished,,"₹30,000",₹1.0 Lac,"Loni Kalbhor, Pune, Loni Kalbhor Gaon, Pune - Southern Outskirts, Maharashtra",,Semi-Furnished,Garden/Park,,₹ 90.4 Lac - ₹ 1.11 Cr,https://www.magicbricks.com/propertyDetails/3-BHK-1600-Sq-ft-Multistorey-Apartment-FOR-Rent-Loni-Kalbhor-Gaon-in-Pune&id=4d423833373837353033,,Magarpatta City Group,"Community Hall,Lawn with pathway,Aesthetically designed landscape garden,Cricket net practice,Half basketball court,Volleyball court,Fire Fighting Equipment,Cycling & Jogging Track,Multipurpose Courts,Meditation Area,Indoor Games Room,Kids play area,Barbeque space,Fire Sprinklers,CCTV Camera,Mini Cinema Theatre,Piped Gas,Cafeteria/Food Court,Vaastu Compliant,Security,Reserved Parking,Park,Gymnasium,Club House,Rain Water Harvesting,Lift,Power Back Up","₹ 7,333 - ₹ 1.0 Lac","2, 3 BHK Flats","7 Towers , 1169 Units",,,2.0,2 Covered,Vitrified,24 Hours Available,No/Rare Powercut,4.0,4.0,,,,,,,,,,,,,
1 BHK 850 Sq-ft Flat/Apartment  For Rent in,"₹10,000","Wagholi, Pune",,,,630sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹16/sqft,,1(Out of 4 Floors),Immediately,,,Semi-Furnished,New Construction,"₹10,000|₹200Monthly Maintenance","₹20, 000","katkewadi, wagholi, Wagholi, Pune - East, Maharashtra",,Semi-Furnished,,New Construction,,https://www.magicbricks.com/propertyDetails/1-BHK-850-Sq-ft-Multistorey-Apartment-FOR-Rent-Wagholi-in-Pune&id=4d423833373930393935,,,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,
3 BHK 1015 Sq-ft Flat/Apartment  For Rent in,"₹45,000","Viman Nagar Central, Pune",3.0,3.0,,884sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹51/sqft,,2(Out of 4 Floors),,,,Furnished,,"₹45,000",,"Viman Nagar Central, Pune - East, Maharashtra",,Furnished,Main Road,,,https://www.magicbricks.com/propertyDetails/3-BHK-1015-Sq-ft-Multistorey-Apartment-FOR-Rent-Viman-Nagar-in-Pune&id=4d423833373837353635,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
4 BHK 3200 Sq-ft Flat/Apartment  For Rent in,"₹75,000","Baner, Pune",4.0,4.0,3.0,2600sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹29/sqft,,7(Out of 12 Floors),Immediately,,,Semi-Furnished,New Construction,"₹75,000",₹2.0 Lac,"Baner, Pune - West, Maharashtra",,Semi-Furnished,,New Construction,,https://www.magicbricks.com/propertyDetails/4-BHK-3200-Sq-ft-Multistorey-Apartment-FOR-Rent-Baner-in-Pune&id=4d423833373836343835,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3 BHK Flat 1780 Sq-ft For Rent in Yash Orchid,","₹34,000","Mohan Nagar Co operative Society, Pune",3.0,3.0,3.0,1424sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹24/sqft,Yash Orchid,1(Out of 9 Floors),Immediately,,East,Semi-Furnished,10 to 15 years,"₹34,000",,"Off Bangalore Mumbai highway service road, behind Supreme Estado, Lane next to Tata Motors showroom, Mohan Nagar Co operative Society, Pune - West, Maharashtra","In the lane next to Tata Motors showroom, behind Supreme Estado",Semi-Furnished,Garden/Park,10 to 15 years,₹ 1.45 Cr Onwards,https://www.magicbricks.com/propertyDetails/3-BHK-1780-Sq-ft-Multistorey-Apartment-FOR-Rent-Mohan-Nagar-Co-operative-Society-in-Pune&id=4d423833373839333231,,Yash Promoters And Builders,"Kids Play Area,Indoor Games Room,Event Space & Amphitheatre,Jogging and Strolling Track,Banquet Hall,DTH Television Facility,Intercom Facility,Security,Gymnasium,Swimming Pool,Club House,Rain Water Harvesting,Power Back Up",,3 BHK Flats,"4 Towers , 54 Units",,,2.0,2 Covered,Ceramic Tiles,,,,,,,,,,,,,,,,,
